Site ,Local,Type,Pseudoplatystoma sp,Pseudoplatystoma reticulatum,Tetragonopterus chalceus,Pseudoplatystoma sp,Pseudoplatystoma reticulatum,Tometes sp,Tometes kranponhah,Pygocentrus nattereri,Serrasalmus marginatus,Serrasalmus sp,Tometes siderocarajensis,Tegragonopterus sp,Leporinus sp,Leporinus affinis,Hemiodus sp,Caenotropus sp,Tometes siderocarajensis,Leporinus tigrinus,Leporinus jatuncoch,Leporinur desmotes,Eigenmannia sp,Eigenmannia trilineata,Eigenmannia virescens ,Caenotropus schizodon,Brycon sp,Brycon pesu,Astyanax sp,Prochilodus sp,Prochilodus nigricans,Leporinus friderici,Tatia sp,Curimatella sp,Pygocentrus sp,Corydoras sp,Pimelodus ornatus,Hemisorubim sp,Hoplias sp
1,TL river,dam,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TL river,dam,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Corrego Jaœ river,tributaries,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4A,Santa Helena river,tributaries,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
4B,Santa Helena river,tributaries,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5A,Ribeir‹o Taxidermista river ,tributaries,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6A,Cristalino river,tributaries,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
6B,Cristalino river,tributaries,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
7A,Peixoto Azevedo river,tributaries,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7B,Peixoto Azevedo river,tributaries,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
